VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2021-03-01 00:07:14,2021-03-01 00:13:02,1,.94,1,N,249,158,1,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2021-03-01 00:18:39,2021-03-01 00:21:11,1,.91,1,N,68,48,1,4.5,0.5,0.5,1,0,0.3,9.3,2.5
2,2021-03-01 00:29:43,2021-03-01 00:34:14,1,1.06,1,N,90,107,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
1,2021-03-01 00:00:27,2021-03-01 00:14:20,1,4.00,1,N,148,181,1,14.5,3,0.5,3.65,0,0.3,21.95,2.5
1,2021-03-01 00:02:18,2021-03-01 00:15:47,1,6.50,1,N,48,244,2,20,3,0.5,0,0,0.3,23.8,2.5
1,2021-03-01 00:21:20,2021-03-01 00:34:08,1,2.10,1,N,244,69,2,10.5,0.5,0.5,0,0,0.3,11.8,0
1,2021-03-01 00:02:11,2021-03-01 00:19:25,2,10.10,1,N,138,140,1,29.5,3,0.5,6.65,0,0.3,39.95,2.5
2,2021-03-01 00:01:32,2021-03-01 00:14:19,1,8.84,1,N,138,256,2,24.5,0.5,0.5,0,0,0.3,25.8,0
2,2021-03-01 00:26:20,2021-03-01 00:32:48,1,3.72,1,N,138,179,1,12,0.5,0.5,2.66,0,0.3,15.96,0
2,2021-03-01 00:03:08,2021-03-01 00:39:08,1,19.50,2,N,132,246,1,52,0,0.5,9.21,6.12,0.3,70.63,2.5
2,2021-03-01 00:04:27,2021-03-01 00:09:18,1,2.01,1,N,263,233,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
2,2021-03-01 00:17:22,2021-03-01 00:28:50,1,4.16,1,N,141,74,2,14.5,0.5,0.5,0,0,0.3,18.3,2.5
2,2021-03-01 00:21:50,2021-03-01 00:25:02,1,.78,1,N,263,140,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,2021-03-01 00:44:30,2021-03-01 00:52:53,1,2.31,1,N,231,249,2,9,0.5,0.5,0,0,0.3,12.8,2.5
1,2021-03-01 00:16:19,2021-03-01 00:26:43,1,2.30,1,N,100,79,1,10,3,0.5,2.76,0,0.3,16.56,2.5
2,2021-03-01 00:47:12,2021-03-01 00:50:53,1,1.06,1,N,68,48,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,2021-03-01 00:03:57,2021-03-01 00:12:43,1,2.72,1,N,140,100,1,9.5,0.5,0.5,1,0,0.3,14.3,2.5
2,2021-03-01 00:39:40,2021-03-01 00:43:34,3,1.22,1,N,48,48,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
2,2021-03-01 00:09:46,2021-03-01 00:25:43,1,4.71,1,N,113,40,2,16.5,0.5,0.5,0,0,0.3,20.3,2.5
2,2021-03-01 00:29:15,2021-03-01 00:29:25,1,.00,5,N,4,4,1,49,0,0,10.36,0,0.3,62.16,2.5
2,2021-03-01 00:20:57,2021-03-01 00:29:56,1,3.39,1,N,249,141,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5
2,2021-03-01 00:36:39,2021-03-01 00:45:11,1,3.07,1,N,237,226,2,11,0.5,0.5,0,0,0.3,14.8,2.5
2,2021-03-01 00:16:17,2021-03-01 00:34:55,1,8.87,1,N,138,233,1,26,0.5,0.5,7.18,6.12,0.3,43.1,2.5
2,2021-03-01 00:15:22,2021-03-01 00:29:26,6,7.53,1,N,138,42,1,22,0.5,0.5,5.88,6.12,0.3,35.3,0
